City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Puerto Ayora,EC,2020-02-23 17:58:38,-0.74,-90.35,84.2,74,20,12.75,few clouds,0.0,0.0
1,Rikitea,PF,2020-02-23 17:58:23,-23.12,-134.97,78.37,74,2,8.25,light rain,0.44,0.0
2,Provideniya,RU,2020-02-23 17:58:49,64.38,-173.3,-9.76,73,0,2.24,clear sky,0.0,0.0
3,Lukovetskiy,RU,2020-02-23 18:02:54,64.3,41.92,35.6,80,90,11.18,overcast clouds,0.0,0.0
4,Cape Town,ZA,2020-02-23 17:58:43,-33.93,18.42,75.2,44,0,21.92,clear sky,0.0,0.0
5,Sokoni,TZ,2020-02-23 17:59:33,-6.43,39.55,84.2,79,20,11.41,few clouds,0.0,0.0
6,Bambous Virieux,MU,2020-02-23 18:02:55,-20.34,57.76,78.01,94,75,9.17,shower rain,0.0,0.0
7,Kapaa,US,2020-02-23 17:58:39,22.08,-159.32,66.2,88,1,9.17,clear sky,0.0,0.0
8,Cabo San Lucas,MX,2020-02-23 18:00:30,22.89,-109.91,84.0,47,75,11.45,broken clouds,0.0,0.0
9,Hithadhoo,MV,2020-02-23 18:02:56,-0.6,73.08,83.26,78,100,14.05,light rain,2.13,0.0
10,Mancio Lima,BR,2020-02-23 18:02:56,-7.61,-72.9,84.2,70,75,8.05,broken clouds,0.0,0.0
11,Auki,SB,2020-02-23 18:02:56,-8.77,160.7,82.81,79,5,7.23,light rain,0.87,0.0
12,Busselton,AU,2020-02-23 17:58:20,-33.65,115.33,69.01,43,93,15.14,light rain,0.69,0.0
13,Atuona,PF,2020-02-23 17:58:47,-9.8,-139.03,81.3,78,20,15.3,light rain,0.5,0.0
14,Avarua,CK,2020-02-23 18:02:57,-21.21,-159.78,80.6,94,100,6.93,light rain,0.0,0.0
15,Kondinskoye,RU,2020-02-23 18:02:57,59.65,67.41,29.05,92,91,11.77,overcast clouds,0.0,0.0
16,Luderitz,NA,2020-02-23 17:58:30,-26.65,15.16,68.49,71,0,27.65,clear sky,0.0,0.0
17,Puerto Escondido,MX,2020-02-23 17:59:10,15.85,-97.07,86.0,84,5,6.93,clear sky,0.0,0.0
18,Ilulissat,GL,2020-02-23 18:02:58,69.22,-51.1,1.4,45,0,1.12,clear sky,0.0,0.0
19,Hilo,US,2020-02-23 17:59:28,19.73,-155.09,69.01,68,1,6.93,clear sky,0.0,0.0
20,Qaanaaq,GL,2020-02-23 17:58:44,77.48,-69.36,-19.57,78,24,5.01,few clouds,0.0,0.0
21,Dikson,RU,2020-02-23 17:58:46,73.51,80.55,30.27,95,100,27.36,snow,0.0,1.75
22,Cayenne,GF,2020-02-23 18:00:03,4.93,-52.33,84.2,70,75,14.99,broken clouds,0.0,0.0
