City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2020-02-22 23:36:37,-33.7,-53.46,60.1,86,15,7.02
1,Shache,CN,2020-02-22 23:50:57,38.42,77.24,37.0,39,0,4.99
2,Yellowknife,CA,2020-02-22 23:39:56,62.46,-114.35,3.2,65,75,6.93
3,Saint-Pierre,RE,2020-02-22 23:42:30,-21.34,55.48,75.2,69,85,8.05
4,Rio Gallegos,AR,2020-02-22 23:43:15,-51.62,-69.22,75.2,33,68,19.46
5,Bethel,US,2020-02-22 23:41:57,41.37,-73.41,46.0,24,1,8.14
6,Qaanaaq,GL,2020-02-22 23:40:59,77.48,-69.36,-14.21,66,100,3.96
7,Bengkulu,ID,2020-02-22 23:43:25,-3.8,102.27,74.21,86,1,4.41
8,Muisne,EC,2020-02-22 23:50:58,0.6,-80.03,80.6,94,40,5.82
9,Arraial Do Cabo,BR,2020-02-22 23:41:36,-22.97,-42.03,72.66,90,96,24.4
10,Airai,TL,2020-02-22 23:41:41,-8.93,125.41,76.59,64,5,1.41
11,Albany,US,2020-02-22 23:41:15,42.6,-73.97,35.6,55,1,5.82
12,Bhadrachalam,IN,2020-02-22 23:50:59,17.67,80.88,64.76,88,0,3.13
13,Port Alfred,ZA,2020-02-22 23:41:27,-33.59,26.89,64.0,82,100,4.0
14,Ushuaia,AR,2020-02-22 23:40:02,-54.8,-68.3,62.6,63,90,20.8
15,Tamiahua,MX,2020-02-22 23:43:22,21.27,-97.45,66.25,76,43,5.14
16,Mar Del Plata,AR,2020-02-22 23:41:24,-38.0,-57.56,61.0,77,0,5.82
17,Hithadhoo,MV,2020-02-22 23:42:03,-0.6,73.08,82.53,80,85,14.88
18,Rikitea,PF,2020-02-22 23:41:17,-23.12,-134.97,80.11,65,2,7.78
19,Tezu,IN,2020-02-22 23:51:01,27.92,96.17,63.52,48,100,4.97
20,Palafrugell,ES,2020-02-22 23:51:01,41.92,3.16,48.99,100,90,2.24
21,Ribeira Grande,PT,2020-02-22 23:41:38,38.52,-28.7,54.72,84,43,7.0
22,Kodiak,US,2020-02-22 23:41:45,57.79,-152.41,19.4,57,20,8.05
23,Portland,US,2020-02-22 23:42:28,45.52,-122.68,57.0,50,40,4.7
24,Sao Joao Da Barra,BR,2020-02-22 23:42:41,-21.64,-41.05,73.4,88,75,9.17
25,Hilo,US,2020-02-22 23:41:39,19.73,-155.09,80.6,54,1,11.41
26,Srednekolymsk,RU,2020-02-22 23:42:59,67.45,153.68,-21.93,97,77,1.54
27,Chokurdakh,RU,2020-02-22 23:41:26,70.63,147.92,-12.78,97,100,2.89
28,Saskylakh,RU,2020-02-22 23:42:38,71.92,114.08,-4.11,97,66,5.95
29,Isangel,VU,2020-02-22 23:42:28,-19.55,169.27,87.8,70,40,5.82
30,Kupang,ID,2020-02-22 23:51:03,-10.17,123.58,82.4,83,20,3.36
31,Hobart,AU,2020-02-22 23:40:04,-42.88,147.33,69.01,55,20,6.93
32,Butaritari,KI,2020-02-22 23:41:30,3.07,172.79,84.31,74,64,9.44
33,Kalangala,UG,2020-02-22 23:51:04,-0.31,32.23,73.4,100,20,5.82
34,Yumbe,UG,2020-02-22 23:51:04,3.47,31.25,75.56,64,39,1.32
35,Healesville,AU,2020-02-22 23:51:04,-37.65,145.52,73.99,68,0,2.24
36,Nhulunbuy,AU,2020-02-22 23:47:18,-12.23,136.77,75.2,94,75,11.41
37,Pangnirtung,CA,2020-02-22 23:42:10,66.15,-65.71,-32.57,94,18,2.3
38,Lazaro Cardenas,MX,2020-02-22 23:41:46,17.96,-102.2,80.91,64,0,5.88
39,Kloulklubed,PW,2020-02-22 23:40:57,7.04,134.26,78.8,88,90,12.75
40,Provideniya,RU,2020-02-22 23:41:47,64.38,-173.3,-8.93,86,9,3.29
41,Horsham,GB,2020-02-22 23:51:05,51.06,-0.33,51.01,81,75,11.41
42,Dikson,RU,2020-02-22 23:41:16,73.51,80.55,15.91,93,100,24.4
43,New Norfolk,AU,2020-02-22 23:41:27,-42.78,147.06,69.01,55,20,6.93
44,Norman Wells,CA,2020-02-22 23:41:06,65.28,-126.83,6.8,77,75,3.36
45,Scottsbluff,US,2020-02-22 23:51:06,41.87,-103.67,57.2,16,1,19.46
46,Slave Lake,CA,2020-02-22 23:51:06,55.28,-114.77,33.8,50,20,19.46
47,Coahuayana,MX,2020-02-22 23:51:07,18.73,-103.68,82.4,61,20,17.22
48,Aklavik,CA,2020-02-22 23:41:42,68.22,-135.01,1.4,84,90,4.7
49,Puerto Ayora,EC,2020-02-22 23:40:43,-0.74,-90.35,82.4,78,40,8.05
50,Castro,BR,2020-02-22 23:41:56,-24.79,-50.01,61.2,91,52,10.07
51,Tilichiki,RU,2020-02-22 23:43:16,60.47,166.1,-6.59,92,17,3.56
52,Erdenet,MN,2020-02-22 23:51:08,49.03,104.08,15.12,74,100,4.34
53,Nemuro,JP,2020-02-22 23:42:32,43.32,145.57,33.1,73,15,23.51
54,Oistins,BB,2020-02-22 23:46:12,13.07,-59.53,77.0,83,20,6.93
55,Guaruja,BR,2020-02-22 23:48:36,-23.99,-46.26,71.01,88,90,11.41
56,Port Elizabeth,ZA,2020-02-22 23:41:17,-33.92,25.57,62.6,72,20,11.41
57,La Ronge,CA,2020-02-22 23:41:41,55.1,-105.28,37.4,59,90,8.05
58,Obihiro,JP,2020-02-22 23:51:09,42.92,143.2,32.0,92,40,5.82
59,Erzin,TR,2020-02-22 23:42:56,36.96,36.2,52.0,100,75,2.24
60,Kagadi,UG,2020-02-22 23:51:09,0.96,30.8,71.91,64,72,1.48
61,Colares,PT,2020-02-22 23:51:10,38.8,-9.45,64.99,58,31,6.93
62,Busselton,AU,2020-02-22 23:41:23,-33.65,115.33,75.0,57,16,11.48
63,Nisia Floresta,BR,2020-02-22 23:51:10,-6.09,-35.21,82.4,83,40,8.05
64,Mataura,NZ,2020-02-22 23:41:18,-46.19,168.86,61.0,78,36,15.99
65,Manyana,BW,2020-02-22 23:51:10,-23.4,21.72,71.8,77,100,9.93
66,Vila Franca Do Campo,PT,2020-02-22 23:51:11,37.72,-25.43,55.4,82,20,4.7
67,Chapais,CA,2020-02-22 23:49:49,49.78,-74.85,32.0,94,90,6.93
